rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,YOASOBI,アイドル,YOASOBI,1,1,60,528542,0.574,0.935,1,-2.783,1,0.0926,0.112,1.07e-06,0.367,0.836,166.008,213234,4
2,SPITZ,美しい鰭,Universal Music LLC,2,2,61,285287,0.545,0.913,1,-3.565,1,0.0298,0.0107,0.00029,0.245,0.747,98.047,211920,4
3,Vaundy,怪獣の花唄,株式会社SDR,1,3,920,277866,0.425,0.939,2,-3.498,1,0.054,0.00361,0.0,0.331,0.638,150.015,224806,4
4,OFFICIAL HIGE DANDISM,Subtitle,IRORI Records,1,4,242,229824,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,305509,4
5,OFFICIAL HIGE DANDISM,TATTOO,IRORI Records,4,5,50,228366,0.481,0.901,0,-5.629,1,0.163,0.0114,0.0,0.314,0.817,194.084,288100,4
6,BTS,Take Two,BIGHIT MUSIC,6,-1,1,221568,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,229953,4
7,"MAN WITH A MISSION, milet",絆ノ奇跡,Sony Music Labels Inc.,5,7,61,202890,0.436,0.951,7,-4.748,0,0.202,0.0046,0.0,0.149,0.428,169.955,223320,4
8,Mrs. GREEN APPLE,ケセラセラ,Universal Music LLC,4,6,47,202318,0.757,0.58,6,-4.574,0,0.0328,0.029,0.0,0.0367,0.698,115.01,272965,4
9,Vaundy,そんなbitterな話,SDR Inc.,5,8,89,185768,0.427,0.689,9,-4.35,1,0.0354,0.0918,0.0,0.102,0.733,178.077,276083,4
10,Mrs. GREEN APPLE,ダンスホール,Universal Music LLC,2,9,382,182524,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,203150,4
11,"百足, 韻マン",君のまま,BTB,3,10,111,166334,0.836,0.771,7,-4.441,1,0.106,0.435,0.0,0.172,0.664,123.977,177581,4
12,Tani Yuuki,W / X / Y,Valley Records,1,11,531,162911,0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,278119,3
13,Yuuri,ベテルギウス,Sony Music Labels Inc.,1,18,583,158323,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,230600,4
14,Kenshi Yonezu,KICK BACK,Sony Music Labels Inc.,1,19,242,157024,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,193495,4
15,Yuuri,ビリミリオン,Sony Music Labels Inc.,4,12,142,156435,0.364,0.628,10,-6.142,1,0.0319,0.238,0.0,0.0931,0.612,93.792,228760,3
16,YOASOBI,祝福,YOASOBI,6,15,252,155914,0.553,0.958,4,-3.159,0,0.073,0.0186,3.08e-05,0.297,0.541,170.045,196235,4
17,natori,Overdose,なとり,2,13,271,154801,0.733,0.598,4,-9.453,0,0.0377,0.0307,1.7e-05,0.218,0.831,118.012,197094,4
18,Mrs. GREEN APPLE,青と夏,Universal Music LLC,5,14,1790,153213,0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,270027,4
19,natori,フライデー・ナイト,Sony Music Labels Inc.,6,20,71,151551,0.633,0.713,5,-5.467,0,0.105,0.236,0.0,0.433,0.927,82.08,175368,4
20,Saucy Dog,シンデレラボーイ,A-Sketch,2,16,608,150612,0.596,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,234324,4
21,QUEEN BEE,メフィスト,Sony Music Labels Inc.,21,21,51,148243,0.531,0.731,2,-5.885,0,0.0522,0.0411,0.0,0.151,0.549,150.01,227320,4
22,Kenshi Yonezu,LADY,Sony Music Labels Inc.,3,17,82,145295,0.751,0.55,2,-7.101,1,0.0534,0.28,0.000249,0.101,0.867,90.952,207167,4
23,"Mrs. GREEN APPLE, Sonoko Inoue",点描の唄,Universal Music LLC,17,24,1474,141315,0.502,0.632,0,-4.612,1,0.0273,0.447,0.0,0.103,0.308,152.014,307067,4
24,YOASOBI,群青,YOASOBI,5,25,1012,140657,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,248027,4
25,Aimyon,愛の花,WM Japan,6,22,66,140596,0.469,0.507,10,-6.21,1,0.0303,0.287,0.0,0.0773,0.469,170.028,240044,3
26,back number,水平線,Universal Music LLC,1,23,666,136007,0.424,0.761,10,-3.526,1,0.0305,0.0103,0.0,0.145,0.424,145.816,288013,4
