rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
27,imase,Nagisa,Universal Music LLC,27,28,12,135813,0.738,0.864,9,-4.489,1,0.0512,0.203,2.31e-06,0.147,0.951,128.048,226489,4
28,NewJeans,OMG,ADOR,3,26,159,133466,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253,4
29,Mrs. GREEN APPLE,Soranji,Universal Music LLC,11,30,235,132758,0.476,0.661,5,-5.197,1,0.044,0.0604,0.0,0.144,0.406,156.057,341443,4
30,10-FEET,第ゼロ感,Universal Music LLC,5,27,191,132661,0.445,0.94,7,-4.16,1,0.175,2.77e-05,1.34e-05,0.32,0.349,150.082,286000,4
31,Macaroni Empitsu,なんでもないよ、,Toy's Factory,1,32,584,130544,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,219253,4
32,"LE SSERAFIM, Nile Rodgers",UNFORGIVEN (feat. Nile Rodgers),SOURCE MUSIC,13,29,40,129278,0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008,182149,4
33,Ado,新時代,Universal Music LLC,1,33,367,128726,0.49,0.987,7,-2.279,1,0.253,0.049,3.24e-06,0.406,0.451,175.064,226813,4
34,back number,アイラブユー,Universal Music LLC,8,31,229,125977,0.483,0.629,1,-3.408,1,0.0276,0.288,0.0,0.143,0.459,77.968,235693,4
35,Yuuri,ドライフラワー,Sony Music Labels Inc.,1,37,951,125328,0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,286360,4
36,Stray Kids,S-Class,Sony Music Labels Inc.,35,35,8,123732,0.886,0.781,5,-1.837,0,0.333,0.0895,0.0,0.0715,0.672,104.996,195689,4
37,indigo la End,名前は片想い,WM Japan,16,36,131,121146,0.71,0.873,9,-3.579,1,0.0391,0.0906,2.06e-05,0.122,0.837,121.983,213793,4
38,IVE,I AM,Starship Entertainment,16,34,61,120916,0.683,0.875,4,-4.866,0,0.0549,0.0115,0.0,0.084,0.384,122.002,183853,4
39,Novelbright,愛とか恋とか,Universal Music LLC,7,38,418,118981,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,232453,4
40,OFFICIAL HIGE DANDISM,115万キロのフィルム,LASTRUM,6,41,1496,117693,0.516,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,324633,4
41,Macaroni Empitsu,リンジュー・ラヴ,Toy's Factory,10,40,146,116698,0.666,0.763,11,-5.96,1,0.0281,0.246,0.0,0.0879,0.663,103.01,185945,4
42,NewJeans,Ditto,ADOR,4,39,173,115666,0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,185507,4
43,Aimer,残響散歌,Sony Music Labels Inc.,1,42,552,113026,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,184893,4
44,Fujii Kaze,きらり,Universal Music LLC,3,44,769,110468,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,231883,4
45,OFFICIAL HIGE DANDISM,ミックスナッツ,IRORI Records,1,43,422,109025,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,213438,4
46,Ado,私は最強,Universal Music LLC,2,46,353,104186,0.577,0.864,4,-2.92,1,0.0447,0.208,0.0,0.355,0.698,96.04,257080,4
47,"millennium parade, Sheena Ringo",W●RK,Sony Music Labels Inc.,24,45,70,102250,0.435,0.923,6,-5.985,0,0.221,0.0301,4.26e-06,0.09,0.546,104.611,201074,4
48,Yorushika,斜陽,Universal Music LLC,39,47,33,102082,0.786,0.45,5,-6.182,1,0.0453,0.0325,0.0,0.226,0.88,123.995,200187,4
49,LE SSERAFIM,ANTIFRAGILE,SOURCE MUSIC,18,49,236,100504,0.879,0.784,10,-3.944,0,0.081,0.0759,0.0,0.125,0.83,105.019,184444,4
50,OFFICIAL HIGE DANDISM,ホワイトノイズ,IRORI Records,6,50,151,99143,0.467,0.908,5,-5.831,0,0.0643,0.000582,5.12e-05,0.386,0.477,143.16,254839,4
51,SEVENTEEN,Super,PLEDIS Entertainment,18,48,47,98594,0.771,0.88,8,-4.091,1,0.0857,0.162,1.41e-06,0.167,0.347,137.018,200387,4
52,YOASOBI,夜に駆ける,YOASOBI,1,53,1181,90063,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,258840,4
53,Yorushika,ただ君に晴れ,U&R records,12,56,1496,86026,0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,198971,4
54,imase,NIGHT DANCER,Universal Music LLC,51,57,282,84890,0.924,0.563,7,-7.899,0,0.0802,0.0879,0.0,0.103,0.872,117.06,210600,4
55,ZUTOMAYO,花一匁,Universal Music LLC,51,52,5,83867,0.657,0.977,2,-2.212,0,0.0803,0.194,2.26e-06,0.216,0.893,127.036,250613,4
56,"SugLawd Familiar, CHICO CARLITO, Awich",LONGINESS REMIX,and music,51,58,148,81869,0.796,0.588,6,-4.89,0,0.15,0.416,0.0,0.0724,0.41,86.977,254310,4
57,TWICE,Hare Hare,WM Japan,51,54,29,81341,0.707,0.83,9,-5.331,0,0.0642,0.171,0.0,0.176,0.758,128.106,203547,4
58,(G)I-DLE,Queencard,CUBE Entertainment,51,51,25,81292,0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,161240,4
59,Vaundy,不可幸力,株式会社SDR,18,60,1057,78403,0.69,0.815,11,-5.227,0,0.0426,0.0157,2.85e-06,0.0636,0.613,94.032,200243,4
60,YOASOBI,怪物,YOASOBI,4,55,885,75409,0.598,0.847,1,-2.54,1,0.205,0.0655,9.92e-05,0.307,0.728,169.959,205480,4
61,Kanaria,酔いどれ知らず,Kanaria,51,61,176,74952,0.77,0.568,6,-6.771,0,0.0431,0.143,0.0123,0.0715,0.92,115.025,134870,4
62,Fujii Kaze,ガーデン,Universal Music LLC,62,66,40,72410,0.589,0.527,4,-8.332,1,0.0572,0.0932,0.000337,0.104,0.576,138.023,229333,4
63,"Mrs. GREEN APPLE, asmi",ブルーアンビエンス,Universal Music LLC,54,59,361,72030,0.647,0.906,0,-3.803,0,0.0374,0.0337,0.0,0.116,0.73,106.485,250773,4
64,MY FIRST STORY,I'm a mess,INTACT RECORDS,57,63,78,71526,0.485,0.946,6,-3.721,0,0.11,0.0068,0.0,0.289,0.621,130.059,251333,4
65,King Gnu,カメレオン,Sony Music Labels Inc.,1,62,468,71501,0.628,0.533,0,-7.235,1,0.0417,0.643,0.0,0.0733,0.459,79.953,193990,4
66,"Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long, Fast & Furious: The Fast Saga","Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",APG Inc – FF10,65,71,22,70503,0.715,0.681,10,-4.25,0,0.113,0.129,0.0,0.152,0.277,84.924,175802,4
67,YOASOBI,Idol,YOASOBI,67,68,15,70044,0.482,0.955,1,-2.626,0,0.119,0.147,0.0,0.406,0.834,165.512,213234,4
68,"LANA, Candee, ZOT on the WAVE",TURN IT UP - feat. Candee & ZOT on the WAVE,LANA MUSIC,19,67,110,69598,0.85,0.738,0,-5.178,0,0.0683,0.0645,0.0,0.19,0.538,140.06,193039,4
69,Vaundy,花占い,株式会社SDR,17,65,705,68812,0.662,0.789,7,-7.634,0,0.0305,0.0141,0.0,0.317,0.881,135.01,207556,4
70,SPITZ,チェリー,Universal Music LLC,23,70,1647,67410,0.646,0.805,0,-3.422,1,0.0292,0.227,1.95e-05,0.0901,0.748,97.201,259933,4
71,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",SOURCE MUSIC,62,64,17,67184,0.663,0.872,11,-5.056,1,0.2,0.0153,0.0,0.0519,0.626,142.951,185539,4
72,OFFICIAL HIGE DANDISM,Pretender,ポニーキャニオン,1,78,1515,64777,0.538,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,326843,4
73,"MAISONdes, 花譜, ツミキ",トウキョウ・シャンディ・ランデヴ,Sony Music Labels Inc.,23,69,209,63187,0.734,0.973,6,-1.789,0,0.0754,0.0435,0.000548,0.0718,0.91,137.024,184767,4
74,Aimyon,君はロックを聴かない,WM Japan,2,92,1955,63083,0.524,0.687,7,-4.039,1,0.0267,0.00135,0.0,0.169,0.619,99.919,246307,4
75,YOASOBI,アドベンチャー,YOASOBI,29,80,115,62726,0.77,0.859,9,-3.602,1,0.0313,0.279,3.52e-06,0.0432,0.84,128.01,199965,4
76,Mrs. GREEN APPLE,インフェルノ,Universal Music LLC,13,72,1423,62340,0.533,0.918,4,-2.095,1,0.0616,0.00894,0.0,0.643,0.662,92.504,211600,4
77,ATARASHII GAKKO!,オトナブルー,ATARASHII GAKKO!,59,85,63,62243,0.873,0.797,11,-5.596,0,0.0963,0.0783,0.0,0.0955,0.753,130.015,184773,4
78,ENHYPEN,Bite Me,BELIFT LAB,56,73,19,61596,0.795,0.781,1,-4.647,1,0.141,0.285,0.0,0.108,0.687,104.972,157532,4
79,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,12,110,351,60924,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
80,Vaundy,踊り子,SDR Inc.,7,86,570,60635,0.718,0.475,7,-11.469,1,0.0611,0.845,0.801,0.105,0.678,157.032,230110,4
81,Yuuri,シャッター,Sony Music Labels Inc.,9,83,703,60285,0.606,0.579,5,-5.582,1,0.033,0.512,0.0,0.381,0.661,149.988,248947,4
82,Aimyon,愛を伝えたいだとか,WM Japan,4,79,1347,60174,0.673,0.85,2,-5.021,1,0.0337,0.0345,1.14e-05,0.0943,0.793,100.008,235241,4
83,Vaundy,napori,株式会社SDR,16,84,929,59933,0.88,0.356,11,-7.802,1,0.297,0.417,0.0,0.0997,0.468,129.822,203787,4
84,YOASOBI,セブンティーン,YOASOBI,23,77,75,59349,0.71,0.871,5,-3.426,0,0.0624,0.0776,1.51e-05,0.0183,0.78,139.977,199586,4
85,back number,HAPPY BIRTHDAY,Universal Music LLC,52,100,972,59190,0.482,0.602,11,-4.365,1,0.0303,0.0702,0.0,0.0677,0.535,145.988,258333,4
86,Yuuri,レオ,Sony Music Labels Inc.,51,91,514,59155,0.629,0.543,5,-6.281,1,0.0252,0.383,0.0,0.127,0.403,93.043,238973,4
87,Mrs. GREEN APPLE,ロマンチシズム,Universal Music LLC,21,76,1200,58876,0.598,0.878,10,-3.144,1,0.0634,0.0038,0.0,0.0468,0.901,125.529,213613,4
88,IVE,Kitsch,Starship Entertainment,29,74,75,58253,0.8,0.792,11,-4.953,1,0.0529,0.0119,1.11e-06,0.0495,0.455,102.0,195440,4
89,BTS,Dynamite,BIGHIT MUSIC,1,108,1023,57880,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
90,Uru,心得,Sony Music Labels Inc.,78,82,33,57870,0.43,0.467,8,-5.717,1,0.0319,0.899,0.0,0.348,0.302,71.79,219309,1
91,Tani Yuuki,もう一度,Valley Records,9,98,262,57763,0.571,0.724,11,-5.381,1,0.0381,0.00408,0.0,0.361,0.315,131.975,250767,4
92,Ryokuoushoku Shakai,Mela!,Sony Music Labels Inc.,21,90,1138,57683,0.619,0.941,8,-1.618,1,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,242067,4
93,YOASOBI,三原色,YOASOBI,4,88,695,57570,0.666,0.923,5,-2.362,0,0.0712,0.0836,0.0,0.315,0.861,128.014,220253,4
94,OFFICIAL HIGE DANDISM,I LOVE...,IRORI Records,1,97,1243,57567,0.546,0.663,9,-6.071,1,0.0536,0.00938,0.0,0.178,0.407,171.698,282680,4
95,Mrs. GREEN APPLE,春愁,Universal Music LLC,60,93,1147,57320,0.724,0.444,10,-4.903,1,0.0412,0.0121,0.0,0.123,0.739,129.962,183800,4
96,Lilas Ikuta,スパークル,幾田りら,21,89,508,56878,0.617,0.629,11,-4.122,1,0.0448,0.389,0.0,0.0798,0.603,149.858,210500,4
97,Charlie Puth,I Don’t Think That I Like Her,Atlantic Records,67,94,93,56705,0.587,0.548,8,-5.846,0,0.0339,0.396,0.0,0.109,0.713,186.073,188508,4
98,Aimyon,マリーゴールド,WM Japan,1,95,1788,56693,0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,306627,4
99,Superfly,愛をこめて花束を,WM Japan,4,75,1496,56148,0.37,0.8,7,-3.403,1,0.0436,0.151,3.33e-06,0.089,0.451,161.934,295600,4
100,iri,Season,Colourful Records,73,105,43,56044,0.62,0.857,6,-6.576,0,0.162,0.236,0.0187,0.198,0.522,190.007,208133,4
101,"DURDN, YonYon",Drink!,Sony Music Labels Inc.,101,117,38,55866,0.744,0.7,7,-4.409,1,0.064,0.0502,0.0,0.0707,0.957,124.03,187863,4
102,IVE,After LIKE,Starship Entertainment,12,96,292,55641,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,176973,4
103,yangskinny,本当はね、,Speedstar,3,87,237,55602,0.554,0.779,11,-5.225,1,0.0487,0.245,5.43e-06,0.116,0.861,102.123,201973,4
104,NewJeans,Hype Boy,ADOR,51,99,302,55510,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,179027,4
105,"milet, Aimer, Lilas Ikuta",おもかげ (produced by Vaundy),THE FIRST TAKE MUSIC,8,102,534,55290,0.488,0.638,8,-4.502,1,0.058,0.0258,2.24e-05,0.12,0.713,207.906,188060,4
106,Jimin,Like Crazy,BIGHIT MUSIC,51,120,68,55132,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,212241,4
107,SEKAI NO OWARI,Habit,Universal Music LLC,2,101,405,54880,0.749,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,253154,4
108,back number,花束,Universal Music LLC,50,81,1339,54473,0.519,0.713,2,-3.612,1,0.0324,0.0178,0.0,0.353,0.505,159.963,286053,4
109,Kenshi Yonezu,Lemon,Sony Music Labels Inc.,4,114,1040,53731,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,255827,4
110,Mrs. GREEN APPLE,私は最強,Universal Music LLC,31,106,214,53439,0.609,0.868,9,-2.578,1,0.0407,0.0142,0.0,0.328,0.496,95.988,256360,4
111,Vaundy,Tokimeki,SDR Inc.,52,107,614,53408,0.657,0.697,5,-7.392,1,0.0297,0.00105,0.0225,0.286,0.915,120.028,212000,4
112,BE:FIRST,Boom Boom Back,B-ME,22,103,118,53398,0.786,0.776,5,-4.553,0,0.0614,0.0484,0.0,0.0593,0.647,100.006,188400,4
113,Lucky Kilimanjaro,Burning Friday Night,BUDDY RECORDS,68,111,56,53391,0.818,0.562,10,-3.831,1,0.0303,0.0345,3.65e-06,0.0706,0.816,114.979,255408,4
114,King Gnu,白日,Sony Music Labels Inc.,1,104,1570,53365,0.599,0.891,1,-3.242,1,0.116,0.562,0.0,0.322,0.694,93.029,276373,4
115,Mrs. GREEN APPLE,lovin',Universal Music LLC,75,118,285,53253,0.44,0.94,11,-2.057,0,0.0711,0.037,0.0,0.31,0.858,123.413,155907,4
116,Fujii Kaze,死ぬのがいいわ,Universal Music LLC,7,127,292,52736,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,185573,4
117,Saucy Dog,いつか,MASH A&R,51,109,1121,52708,0.603,0.509,7,-4.535,1,0.0263,0.0941,0.0,0.201,0.445,79.989,274872,4
118,OFFICIAL HIGE DANDISM,ノーダウト,LASTRUM,3,144,1880,52389,0.574,0.936,2,-3.185,1,0.0701,0.0585,0.0,0.336,0.792,149.954,202395,4
119,BTS,The Planet,BIGHIT MUSIC,54,-1,25,51305,0.665,0.848,0,-3.619,1,0.0708,0.000482,0.0,0.2,0.687,119.986,178156,4
120,Macaroni Empitsu,ブルーベリー・ナイツ,TALTO,67,121,1117,51298,0.66,0.865,5,-3.642,1,0.0277,0.278,0.0,0.0931,0.772,106.008,244869,4
121,Macaroni Empitsu,恋人ごっこ,TALTO,30,123,1120,50870,0.438,0.646,1,-5.301,1,0.0361,0.124,0.0,0.0603,0.745,102.033,200219,4
122,Mrs. GREEN APPLE,僕のこと,Universal Music LLC,15,115,1520,50807,0.439,0.708,7,-3.825,1,0.0528,0.0129,0.0,0.147,0.454,160.027,321307,4
123,Conton Candy,ファジーネーブル,Conton Candy,113,113,6,50721,0.563,0.645,1,-4.53,1,0.0457,0.00845,8.06e-05,0.295,0.476,135.022,237400,4
124,SPITZ,ロビンソン,Universal Music LLC,32,112,1202,50592,0.623,0.787,6,-4.339,0,0.0274,0.428,0.0,0.16,0.585,111.181,260133,4
125,HIRAIDAI,"Stand by me, Stand by you.",avex trax,4,131,984,50186,0.66,0.576,3,-5.627,1,0.0363,0.0879,0.0,0.0599,0.561,80.978,193013,4
126,Yuuri,ピーターパン,Sony Music Labels Inc.,51,125,845,49951,0.633,0.889,11,-4.285,0,0.0482,0.0251,0.0,0.11,0.448,111.977,214213,4
127,BTS,Butter,BIGHIT MUSIC,1,154,748,49498,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,164952,4
128,back number,怪盗,Universal Music LLC,10,135,747,49276,0.64,0.835,7,-2.4,1,0.0369,0.435,0.0,0.304,0.806,114.034,196227,4
129,aiko,花火,ポニーキャニオン,54,119,37,48940,0.621,0.868,5,-5.235,1,0.0324,0.0692,0.0,0.0348,0.887,96.045,278973,4
130,Yorushika,だから僕は音楽を辞めた,U&R records,51,168,877,48650,0.65,0.88,4,-5.326,1,0.0283,0.36,0.00369,0.23,0.921,124.985,242913,4
131,YU-KA,星月夜,Universal Music LLC,10,130,122,48359,0.339,0.49,9,-8.431,1,0.0505,0.278,3.7e-05,0.0661,0.0706,84.385,265715,4
132,back number,オールドファッション,Universal Music LLC,55,129,574,48100,0.386,0.806,6,-3.647,1,0.0499,0.0788,0.0,0.104,0.394,175.953,254440,4
133,Vaundy,恋風邪にのせて,SDR Inc.,13,128,460,47888,0.595,0.909,6,-3.594,0,0.0341,6.4e-05,0.000355,0.387,0.537,118.021,255914,4
134,BE:FIRST,Smile Again,B-ME,20,132,48,47735,0.706,0.769,11,-5.341,0,0.0738,0.0384,0.0,0.12,0.339,107.917,202050,4
135,SPITZ,空も飛べるはず,Universal Music LLC,73,159,495,47640,0.593,0.81,0,-4.389,1,0.0278,0.0424,2.83e-06,0.119,0.67,114.936,271400,4
136,King Gnu,一途,Sony Music Labels Inc.,1,126,548,47241,0.5,0.964,2,-4.19,1,0.124,0.00723,6.2e-05,0.0557,0.662,159.971,190607,4
137,SEKAI NO OWARI,ターコイズ,Universal Music LLC,115,122,18,46640,0.541,0.87,1,-4.202,1,0.0517,0.00579,0.0,0.0843,0.679,135.967,199128,3
138,wacci,恋だろ,Sony Music Labels Inc.,14,139,349,46577,0.599,0.546,4,-6.795,1,0.0333,0.17,0.0,0.113,0.336,143.91,283093,4
139,BE:FIRST,Bye-Good-Bye,B-ME,8,145,461,46133,0.878,0.654,2,-5.225,1,0.0502,0.109,0.0,0.0803,0.787,114.991,181019,4
140,aespa,Spicy,Warner Records,63,133,32,45951,0.757,0.898,11,-1.247,0,0.0667,0.0138,0.0,0.0703,0.842,114.949,197040,4
141,Yuuri,メリーゴーランド,Sony Music Labels Inc.,54,157,166,45654,0.516,0.617,3,-5.661,1,0.0276,0.516,0.0,0.0611,0.547,180.033,256680,3
142,Sheena Ringo,丸ノ内サディスティック,Universal Music LLC,37,175,1107,45408,0.425,0.916,8,-2.909,1,0.118,0.113,0.000398,0.108,0.659,199.694,235867,4
143,Ed Sheeran,Shape of You,Atlantic Records UK,1,148,2314,45388,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
144,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,7,156,701,45350,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
145,FIFTY FIFTY,Cupid - Twin Ver.,WM Korea,111,170,44,45314,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253,4
146,Da-iCE,スターマイン,avex trax,55,136,217,45114,0.725,0.895,6,-3.554,1,0.183,0.295,0.0,0.0741,0.746,131.986,227833,4
147,Saucy Dog,結,A-Sketch,52,134,577,44939,0.53,0.661,6,-7.09,1,0.0408,0.224,0.0,0.169,0.538,153.935,264840,4
148,Aimyon,裸の心,WM Japan,2,164,1133,44344,0.559,0.448,8,-4.11,1,0.0275,0.537,1.85e-05,0.0915,0.354,148.02,296653,4
149,DISH//,猫,Sony Music Labels Inc.,16,153,1137,44271,0.506,0.769,3,-5.326,1,0.0363,0.113,0.0,0.0828,0.536,154.044,276040,4
150,Mrs. GREEN APPLE,WanteD! WanteD!,Universal Music LLC,7,160,1220,44167,0.559,0.806,0,-2.461,1,0.0498,0.025,0.0,0.0433,0.632,160.019,217387,4
151,TWICE,MOONLIGHT SUNRISE,WM Japan,10,137,141,44083,0.747,0.782,1,-3.255,1,0.0622,0.384,2.12e-06,0.0862,0.6,125.062,180320,4
152,IVE,WAVE,Sony Music Labels Inc.,84,143,21,43866,0.805,0.765,7,-4.303,1,0.0512,0.0139,1.12e-06,0.257,0.782,118.99,175893,4
153,Yorushika,春泥棒,Universal Music LLC,51,150,634,43843,0.762,0.595,5,-6.777,1,0.0445,0.103,4.71e-05,0.115,0.858,125.047,290289,4
154,Da-iCE,CITRUS,avex trax,8,177,894,43769,0.549,0.861,1,-2.526,1,0.0459,0.22,0.0,0.361,0.739,82.042,248653,4
155,Ado,逆光,Universal Music LLC,2,147,339,43688,0.564,0.896,10,-3.875,0,0.108,0.000387,8.17e-06,0.374,0.713,145.023,237667,4
156,back number,高嶺の花子さん,Universal Music LLC,7,151,1563,43674,0.54,0.923,9,-2.838,1,0.0623,0.066,0.0,0.124,0.343,137.977,294813,4
157,Vaundy,泣き地蔵,SDR Inc.,61,196,166,43318,0.638,0.861,7,-9.106,1,0.0497,0.000458,3.24e-05,0.196,0.747,119.99,149500,4
158,Yorushika,アルジャーノン,Universal Music LLC,17,140,124,43295,0.663,0.467,0,-8.549,1,0.0317,0.844,3.72e-06,0.102,0.449,143.974,252787,4
159,RADWIMPS,君と羊と青,Universal Music LLC,60,116,280,43281,0.412,0.964,8,-2.274,1,0.101,0.00011,0.00052,0.157,0.778,164.042,158187,4
160,Ado,いばら,Universal Music LLC,72,185,31,43249,0.494,0.932,2,-2.969,1,0.074,0.0111,0.0,0.336,0.475,164.95,261046,4
161,TWICE,SET ME FREE,WM Japan,57,138,92,43243,0.754,0.831,5,-2.536,0,0.157,0.0897,0.0,0.0505,0.707,113.019,181680,4
162,Vaundy,東京フラッシュ,株式会社SDR,78,149,1047,43207,0.628,0.634,2,-5.508,1,0.0322,0.00255,7.24e-06,0.0456,0.606,97.99,258859,4
