rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Tani Yuuki,W / X / Y,Valley Records,1,1,166,236086,0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,278119,3
2,OFFICIAL HIGE DANDISM,ミックスナッツ,IRORI Records,2,2,57,221703,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,213438,4
3,SEKAI NO OWARI,Habit,Universal Music LLC,3,3,40,210608,0.749,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,253154,4
4,Saucy Dog,シンデレラボーイ,A-Sketch,2,4,243,210379,0.596,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,234324,4
5,Yuuri,ベテルギウス,Sony Music Labels Inc.,1,5,218,195819,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,230600,4
6,Macaroni Empitsu,なんでもないよ、,Toy's Factory,1,6,219,177160,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,219253,4
7,Gen Hoshino,喜劇,Speedstar,6,8,64,155204,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,230667,4
8,back number,水平線,Universal Music LLC,1,7,301,154571,0.419,0.75,10,-3.546,1,0.0316,0.011,0.0,0.159,0.436,145.867,285396,4
9,Yuuri,ドライフラワー,Sony Music Labels Inc.,1,9,586,153460,0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,286360,4
10,Kenshi Yonezu,M八七,Sony Music Labels Inc.,4,10,29,147610,0.633,0.719,1,-8.329,1,0.0418,0.3,2.23e-05,0.34,0.334,112.013,263120,4
11,BE:FIRST,Bye-Good-Bye,B-ME,8,11,96,145512,0.877,0.639,2,-5.509,1,0.0496,0.108,0.0,0.0806,0.79,115.028,181013,4
12,Novelbright,愛とか恋とか,Universal Music LLC,11,12,53,145382,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,232453,4
13,Da-iCE,CITRUS,avex trax,8,13,529,144285,0.549,0.861,1,-2.526,1,0.0459,0.22,0.0,0.361,0.739,82.042,248653,4
14,Yuuri,シャッター,Sony Music Labels Inc.,9,14,338,140192,0.606,0.579,5,-5.582,1,0.033,0.512,0.0,0.381,0.661,149.988,248947,4
15,King Gnu,カメレオン,Sony Music Labels Inc.,1,15,103,139995,0.628,0.533,0,-7.235,1,0.0417,0.643,0.0,0.0733,0.459,79.953,193990,4
16,BTS,Dynamite,BIGHIT MUSIC,1,16,658,139269,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
17,Vaundy,恋風邪にのせて,SDR Inc.,13,17,95,133217,0.595,0.909,6,-3.594,0,0.0341,6.4e-05,0.000355,0.387,0.537,118.021,255914,4
18,Fujii Kaze,きらり,Universal Music LLC,3,18,404,132297,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,231883,4
19,Aimer,残響散歌,Sony Music Labels Inc.,1,19,187,132156,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,184893,4
20,BTS,Butter,BIGHIT MUSIC,1,20,383,132073,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442,4
21,YOASOBI,群青,YOASOBI,5,21,647,126507,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,248027,4
22,BTS,Permission to Dance,BIGHIT MUSIC,1,22,336,126362,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,187585,4
23,"Mrs. GREEN APPLE, Sonoko Inoue",点描の唄,Universal Music LLC,17,24,1109,119256,0.502,0.632,0,-4.612,1,0.0273,0.447,0.0,0.103,0.308,152.014,307067,4
24,King Gnu,逆夢,Sony Music Labels Inc.,1,23,169,119219,0.204,0.708,1,-5.425,1,0.0458,0.442,0.0,0.319,0.278,83.443,307667,4
25,Awesome City Club,勿忘,cutting edge,3,25,499,118961,0.448,0.447,6,-7.161,0,0.045,0.234,0.0,0.382,0.299,78.861,251533,4
26,IVE,LOVE DIVE,STARSHIP Entertainment,7,26,66,116183,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,177187,4
27,King Gnu,一途,Sony Music Labels Inc.,1,28,183,114757,0.5,0.964,2,-4.19,1,0.124,0.00723,6.2e-05,0.0557,0.662,159.971,190607,4
28,YOASOBI,夜に駆ける,YOASOBI,1,29,816,114217,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,258840,4
29,Takaya Kawasaki,魔法の絨毯,Warner Music D.N.A.,13,27,633,113740,0.622,0.309,10,-6.291,0,0.0481,0.776,0.0,0.122,0.571,73.897,208896,4
30,HENTAI SHINSHI CLUB,YOKAZE,TOY'S FACTORY,14,30,555,112891,0.642,0.587,10,-5.53,1,0.0268,0.293,0.0,0.0784,0.361,89.96,269547,4
31,LE SSERAFIM,FEARLESS,SOURCE MUSIC,15,32,39,111948,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,168437,4
32,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,7,31,336,111250,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
33,Chippoke Ohashi,常緑,"TRIAD/Nippon Columbia Co., Ltd.",16,34,216,111113,0.725,0.75,11,-5.694,1,0.0772,0.0242,0.0,0.101,0.888,101.19,171547,4
34,Ryokuoushoku Shakai,Mela!,Sony Music Labels Inc.,21,33,773,110533,0.619,0.941,8,-1.618,1,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,242067,4
35,Aimyon,ハート,WM Japan,9,35,233,108064,0.661,0.448,6,-5.761,1,0.0522,0.543,0.0,0.0818,0.299,78.114,271280,4
36,OFFICIAL HIGE DANDISM,Cry Baby,IRORI Records,3,36,400,106034,0.346,0.901,1,-4.617,1,0.12,0.0103,0.0,0.358,0.434,199.934,241680,4
37,Vaundy,踊り子,SDR Inc.,7,38,205,105660,0.718,0.475,7,-11.469,1,0.0611,0.845,0.801,0.105,0.678,157.032,230110,4
38,YOASOBI,怪物,YOASOBI,4,37,520,105242,0.598,0.847,1,-2.54,1,0.205,0.0655,9.92e-05,0.307,0.728,169.959,205480,4
39,OFFICIAL HIGE DANDISM,115万キロのフィルム,LASTRUM,6,39,1131,103151,0.516,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,324633,4
40,YOASOBI,三原色,YOASOBI,4,40,344,100942,0.666,0.923,5,-2.362,0,0.0712,0.0836,0.0,0.315,0.861,128.014,220253,4
41,"MAISONdes, 和ぬか, asmi",ヨワネハキ,Sony Music Labels Inc.,10,42,314,99168,0.78,0.814,7,-3.617,1,0.0291,0.0432,8.28e-05,0.168,0.59,108.025,166967,4
