rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
59,Ryokuoushoku Shakai,Mela!,Sony Music Labels Inc.,53,58,408,61851,0.619,0.941,8,-1.618,1,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,242067,4
60,"BTS, Halsey",Boy With Luv (feat. Halsey),BIGHIT MUSIC,2,62,790,61395,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4
61,Yorushika,春泥棒,Universal Music LLC,51,61,151,59988,0.762,0.595,5,-6.777,1,0.0445,0.103,4.71e-05,0.115,0.858,125.047,290289,4
62,WurtS,分かってないよ,W’s Project,56,63,35,57968,0.429,0.919,2,-4.087,1,0.0681,0.000219,0.000143,0.347,0.527,149.971,209038,4
63,あたらよ,10月無口な君を忘れる,Atarayo Records,52,64,76,57538,0.262,0.47,5,-4.663,1,0.0433,0.0429,0.0,0.236,0.307,75.096,332286,4
64,YOASOBI,優しい彗星,YOASOBI,52,65,141,56368,0.715,0.722,5,-4.62,1,0.0348,0.197,0.0,0.114,0.522,89.995,215333,4
65,YOASOBI,あの夢をなぞって,YOASOBI,51,66,390,56037,0.534,0.794,8,-3.738,1,0.0402,0.334,0.00093,0.159,0.711,179.976,240747,4
66,Aimyon,マリーゴールド,WM Japan,1,67,1058,55269,0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,306627,4
67,NiziU,Step and a step,Sony Music Labels Inc.,4,70,198,54607,0.844,0.851,0,-3.762,1,0.0494,0.184,8.53e-05,0.0754,0.541,116.038,201720,4
68,HIRAIDAI,題名のない今日,avex trax,61,69,133,54554,0.707,0.479,11,-6.088,1,0.0328,0.2,0.0,0.384,0.633,87.012,193709,4
69,Hikaru Utada,PINK BLOOD,Sony Music Labels Inc.,52,60,8,53980,0.666,0.534,6,-7.286,1,0.0893,0.277,3.57e-05,0.179,0.617,100.0,197084,4
70,Vaundy,怪獣の花唄,株式会社SDR,60,68,190,53777,0.425,0.939,2,-3.498,1,0.054,0.00361,0.0,0.331,0.638,150.015,224806,4
71,LiSA,紅蓮華,Sony Music Labels Inc.,5,72,597,53444,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,237587,4
72,Yorushika,ただ君に晴れ,U&R records,12,74,883,52979,0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,198971,4
73,Chinozo,グッバイ宣言,Chinozo,54,71,124,52254,0.542,0.743,9,-11.51,0,0.0781,0.0324,0.0,0.267,0.916,169.916,172791,3
74,Vaundy,世界の秘密,株式会社SDR,52,75,165,51879,0.683,0.53,6,-6.749,0,0.0614,0.142,0.0,0.0978,0.823,159.969,221250,4
75,BTS,Stay Gold,Universal Music LLC,11,79,356,51080,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.582,129.017,243267,4
76,Vaundy,しわあわせ,株式会社SDR,62,80,60,50124,0.494,0.613,5,-6.813,1,0.0633,0.00484,0.0,0.115,0.385,159.993,278250,4
77,Kenshi Yonezu,Lemon,Sony Music Labels Inc.,4,78,310,49560,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,255827,4
78,"JP THE WAVY, OZworld, LEX",WAVEBODY (feat. OZworld & LEX),bpm tokyo / bpm plus asia,76,77,29,49187,0.884,0.749,1,-6.019,1,0.133,0.0523,5.28e-05,0.139,0.859,87.479,184507,4
79,BLOOM VASE,CHILDAYS,Warner Music D.N.A.,54,81,263,48952,0.679,0.814,2,-2.459,1,0.0462,0.349,0.0,0.132,0.922,79.002,190735,4
80,BUMP OF CHICKEN,なないろ,Toy's Factory,65,73,23,48522,0.593,0.862,9,-4.347,1,0.0299,0.0178,0.0,0.101,0.84,124.978,259878,4
81,yama,カーテンコール,Sony Music Labels Inc.,76,76,11,47658,0.639,0.917,9,-4.845,0,0.0473,0.0385,0.0,0.314,0.765,123.016,219207,4
82,Yorushika,又三郎,Universal Music LLC,82,98,3,47194,0.472,0.919,4,-3.513,0,0.149,0.00308,0.000492,0.212,0.548,199.972,227732,4
83,SEKAI NO OWARI,silent,Universal Music LLC,3,82,228,46518,0.43,0.62,0,-5.274,1,0.0419,0.434,0.0,0.209,0.424,176.14,308921,4
84,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,58,83,83,45918,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4
85,nishina,ヘビースモーク,WM Japan,83,86,64,45638,0.419,0.637,10,-4.537,1,0.0311,0.00362,0.00049,0.286,0.487,138.045,302142,4
86,SUDA MASAKI,まちがいさがし,Sony Music Labels Inc.,3,89,737,45617,0.534,0.642,2,-5.568,1,0.0372,0.523,0.0,0.39,0.443,155.921,223640,4
87,Lilas Ikuta,Answer,幾田りら,72,90,63,45452,0.622,0.475,0,-6.199,1,0.036,0.512,0.0,0.127,0.388,79.954,246000,4
88,Mrs. GREEN APPLE,青と夏,Universal Music LLC,5,84,1060,45021,0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,270027,4
89,Mrs. GREEN APPLE,インフェルノ,Universal Music LLC,13,85,693,44842,0.533,0.918,4,-2.095,1,0.0616,0.00894,0.0,0.643,0.662,92.504,211600,4
90,TWICE,Alcohol-Free,WM Japan,90,-1,1,44676,0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,210573,4
91,OFFICIAL HIGE DANDISM,Universe,IRORI Records,52,94,152,43862,0.493,0.907,1,-4.911,1,0.19,0.227,1.7e-05,0.136,0.596,185.959,286099,4
92,"STUTS, Takako Matsu, NENE, 角田晃広, 3exes",Presence III,Sony Music Labels Inc.,92,99,4,43728,0.646,0.665,6,-5.668,0,0.0681,0.346,1.22e-05,0.0819,0.372,94.957,251459,4
